p3d_bunny-fur-view0_part6;2483;2493;1293;1910;2383;1770;860;1063;3196;1070;800;1550;1376;1893;2323;1636;
p3d_coffee-splash-view0_part6;1400;1427;1625;1602;1700;1975;1650;1582;1507;1802;1877;1920;1577;1830;1857;1752;
p3d_ecosys-view0_part6;105;115;90;100;115;190;120;105;185;115;225;120;195;235;110;220;
p3d_eponge-fractal-6-view0_part6;210;230;263;266;446;450;480;526;1036;996;556;1263;830;1236;1303;703;
p3d_pavilion-night-view2_part6;5440;2746;2646;3733;6546;9946;8960;3953;8333;3926;5033;3946;2246;2793;2040;2333;
p3d_arcsphere-view0_part6;2733;1640;1560;2533;3693;2166;2506;2833;4866;3766;3273;3173;1766;2013;2913;3213;
p3d_bathroom-view0_part6;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;9673;7880;
p3d_car2-view0_part6;1093;1620;2166;2160;1220;5573;6373;6093;1426;1286;1926;2286;1620;953;1353;1153;
p3d_caustic-view0_part6;2313;5306;3953;1760;2106;2166;2026;2820;3620;4906;5173;4426;3560;4033;5160;4966;
p3d_classroom-view0_part6;10000;10000;10000;10000;8220;10000;10000;10000;10000;9280;10000;9220;8346;9606;8073;9153;
p3d_classroom-view1_part6;9673;10000;10000;10000;8880;8346;10000;8873;8746;7946;9406;10000;8740;9340;8940;9880;
p3d_contemporary-bathroom-view0_part6;10000;10000;10000;10000;3086;10000;10000;10000;10000;10000;9013;9073;9666;9040;3060;3293;
p3d_contemporary-bathroom-view1_part6;2033;10000;9486;7053;3500;10000;6620;6700;2460;10000;6906;8140;10000;10000;3066;2966;
p3d_crown-view0_part6;1286;6680;3760;1293;2153;6146;4953;2640;4420;2086;2286;3980;4486;3766;3553;3093;
p3d_dragon-view0_part6;2420;2153;2153;2100;1886;1760;226;2020;2153;473;4060;4926;4226;5506;3693;3833;
p3d_dragon_250-view0_part6;706;900;1220;973;966;1100;1160;1240;1506;1580;2233;1693;1240;1246;886;1166;
p3d_eponge-fractal-6-view1_part6;1366;1640;2226;2020;1686;1500;1820;1893;1686;1433;2020;1840;1773;1960;1706;2093;
p3d_ganesha-view0_part6;2573;1826;2160;2360;840;566;426;706;653;626;626;833;1633;620;1553;2173;
p3d_glass-of-water-view0_part6;8100;1433;620;4306;7880;6220;3560;5500;8760;8606;8806;8980;6346;9673;8940;9873;
p3d_glass-view0_part6;10000;9740;420;420;10000;10000;353;353;9006;10000;353;486;8806;10000;4746;753;
p3d_indirect-view0_part6;1020;1286;2166;6086;1286;1020;3093;5686;686;1086;2553;3020;420;1486;2086;2753;
p3d_kitchen-view0_part6;6886;10000;8480;6953;5286;10000;9740;4553;5086;9273;8006;6413;7546;7680;9273;8280;
p3d_kitchen-view1_part6;7820;9210;10000;9310;7620;7210;7520;9510;9310;9110;6810;8620;8110;7120;6920;8420;
p3d_landscape-view3_part6;3220;4486;5086;6913;1953;2820;3893;4220;2793;3620;2553;2620;1080;2153;1753;2020;
p3d_living-room-3-view0_part6;8680;5286;6553;2293;7153;7086;6420;2626;4420;6580;4560;7820;7086;8286;6286;6693;
p3d_living-room-3-view1_part6;4020;6213;6553;7146;5153;4820;4220;2953;5220;3560;3153;5020;4153;3553;5680;7480;
p3d_low_table_2spheric_view0_part6;1220;4953;3420;3220;7086;7553;7553;6753;1886;2353;2486;2753;1020;1820;953;753;
p3d_pavilion-day-view0_part6;3686;3693;4826;3166;2753;3166;5760;2620;2353;1633;1960;1293;2353;2693;2246;2420;
p3d_pavilion-day-view1_part6;3960;5753;6286;7486;1620;5553;6486;8220;1620;1286;2353;3553;1486;1293;1020;953;
p3d_pavilion-day-view2_part6;3086;2553;2353;1753;1753;1753;2286;2353;1086;1220;2286;2493;486;553;726;753;
p3d_pavilion-night-view0_part6;10000;10000;10000;10000;10000;10000;10000;8086;8353;5753;4486;5753;5353;5486;5886;4420;
p3d_pavilion-night-view1_part6;9740;9206;9160;10000;9940;9140;10000;9806;9140;8573;8140;8480;9673;7946;6146;6346;
p3d_sanmiguel-view1_part6;9866;6946;7353;6080;3693;4886;2833;4953;3620;4620;2900;3553;2420;5886;1686;3420;
p3d_sanmiguel-view2_part6;5086;6353;8086;8620;8073;8480;5820;6486;2620;4886;5086;6286;3420;3220;2686;2353;
p3d_staircase2-view0_part6;3686;3020;3220;3820;2820;2886;2886;3426;2553;4160;2293;4553;5220;2553;3033;5020;
p3d_staircase-view1_part6;293;560;153;386;620;620;553;960;433;553;953;886;426;573;693;960;
p3d_vw-van-view0_part6;1353;886;960;953;2020;1886;7686;7760;1953;3220;1220;1360;953;886;1153;1286;
p3d_tt-view0_part6;620;1553;1886;1220;3086;4753;3753;2486;3286;2093;2353;1820;820;1086;820;686;
p3d_living-room-view0_part6;10000;10000;10000;10000;6173;4620;4620;4820;10000;7013;5753;9940;10000;7486;5620;3420;
p3d_living-room-view2_part6;9073;10000;10000;7433;8806;6086;9206;6820;6620;8406;10000;10000;9006;9740;10000;10000;
